name_ascii,name_diacritics,designation,id,id_greek,con,num,wsd_j,mag,bnd,hip,hd,ra,dec,date
Capella,Capella,HR1708,alf,α,Aur,Aa,05167+4600,0.08,V,24608,34029,79.172328,45.997991,2016-06-30
Caph,Caph,HR21,bet,β,Cas,A,00092+5909,2.28,V,746,432,2.294522,59.149781,2016-06-30
Castor,Castor,HR2891,alf,α,Gem,Aa,07346+3153,1.98,V,36850,60179,113.649428,31.888276,2016-06-30
Castula,Castula,HR265,ups02,υ2,Cas,,,4.62,V,4422,5395,14.166271,59.181055,2017-09-05
Cebalrai,Cebalrai,HR6603,bet,β,Oph,,,2.76,V,86742,161096,265.868136,4.567300,2016-08-21
Ceibo,Ceibo,HD63454,,,Cha,,,9.37,V,37284,63454,114.841057,-78.278974,2019-12-17
Celaeno,Celaeno,HR1140,16,16,Tau,,03448+2417,5.45,V,17489,23288,56.200893,24.289468,2016-08-21
Cervantes,Cervantes,HR6585,mu,μ,Ara,,,5.15,V,86796,160691,266.036255,-51.834051,2015-12-15
Chalawan,Chalawan,HR4277,47,47,UMa,,,5.03,V,53721,95128,164.866553,40.430256,2015-12-15
Chamukuy,Chamukuy,HR1412,tet02,θ2,Tau,Aa,04287+1552,3.73,V,20894,28319,67.165586,15.870882,2017-09-05
Chaophraya,Chaophraya,WASP-50,,,Eri,,,11.55,G,,,043.688059,-10.898063,2019-12-17
Chara,Chara,HR4785,bet,β,CVn,Aa,12337+4121,4.24,V,61317,109358,188.435603,41.357479,2016-07-20
Chason,Chasoň,HAT-P-5,,,Lyr,,18176+3637,11.82,G,,,274.405470,36.621436,2019-12-17
Chechia,Chechia,HD192699,,,Aql,,,6.44,V,99894,192699,304.025017,4.580795,2019-12-17
Chertan,Chertan,HR4359,tet,θ,Leo,,,3.33,V,54879,97633,168.560019,15.429571,2016-07-20
Citadelle,Citadelle,HD1502,,,Psc,,,8.36,V,1547,1502,4.821110,14.054756,2019-12-17
Citala,Citalá,HD52265,,,Mon,,,6.29,V,33719,52265,105.075149,-5.367161,2019-12-17
Cocibolca,Cocibolca,HD4208,,,Scl,,,7.78,V,3479,4208,11.111045,-26.515683,2019-12-17
Copernicus,Copernicus,HR3522,55,55,Cnc,A,08526+2820,5.95,V,43587,75732,133.149212,28.330820,2015-12-15
CorCaroli,CorCaroli,HR4915,alf02,α2,CVn,Aa,12560+3819,2.89,V,63125,112413,194.006943,38.318376,2016-07-20
Cujam,Cujam,HR6117,ome,ω,Her,A,16254+1402,4.57,V,80463,148112,246.353979,14.033274,2017-02-01
Cursa,Cursa,HR1666,bet,β,Eri,,05078-0505,2.78,V,23875,33111,76.962440,-5.086446,2016-07-20
Dabih,Dabih,HR7776,bet01,β1,Cap,Aa,20210-1447,3.05,V,100345,193495,305.252803,-14.781405,2016-08-21
Dalim,Dalim,HR963,alf,α,For,A,03121-2859,3.86,V,14879,20010,48.018864,-28.987620,2017-09-05
Deneb,Deneb,HR7924,alf,α,Cyg,,20414+4517,1.25,V,102098,197345,310.357980,45.280339,2016-06-30
DenebAlgedi,DenebAlgedi,HR8322,del,δ,Cap,Aa,21470-1608,2.85,V,107556,207098,326.760184,-16.127287,2017-02-01
Denebola,Denebola,HR4534,bet,β,Leo,,11491+1434,2.14,V,57632,102647,177.264910,14.572058,2016-06-30
Diadem,Diadem,HR4968,alf,α,Com,A,13100+1732,4.85,V,64241,114378,197.497029,17.529447,2017-02-01
Dingolay,Dingolay,HD96063,,,Leo,,,8.21,V,54158,96063,166.185228,-02.513218,2019-12-17
Diphda,Diphda,HR188,bet,β,Cet,,,2.04,V,3419,4128,10.897379,-17.986606,2016-08-21
Diwo,Dìwö,WASP-17,,,Sco,,15598-2804,11.38,G,,,239.962287,-28.061753,2019-12-17
Diya,Diya,WASP-72,,,For,,,10.84,G,,,041.040041,-30.169045,2019-12-17
Dofida,Dofida,HD117618,,,Cen,,,7.17,V,66047,117618,203.106482,-47.271365,2019-12-17
Dombay,Dombay,HAT-P-3,,,UMa,,,11.28,G,,,206.094141,48.028668,2019-12-17
Dschubba,Dschubba,HR5953,del,δ,Sco,A,16003-2237,2.29,V,78401,143275,240.083359,-22.621710,2016-08-21
Dubhe,Dubhe,HR4301,alf,α,UMa,A,11037+6145,1.81,V,54061,95689,165.931965,61.751035,2016-06-30
Dziban,Dziban,HR6636,psi01,ψ1,Dra,A,17419+7209,4.57,V,86614,162003,265.484814,72.148847,2017-09-05
Ebla,Ebla,HD218566,,,Psc,,,8.59,V,114322,218566,347.294696,-2.260746,2019-12-17
Edasich,Edasich,HR5744,iot,ι,Dra,,15249+5858,3.29,V,75458,137759,231.232396,58.966063,2015-12-15
Electra,Electra,HR1142,17,17,Tau,,03449+2407,3.72,V,17499,23302,56.218904,24.113336,2016-08-21
Elgafar,Elgafar,HR5409,phi,ϕ,Vir,A,14282-0214,4.84,V,70755,126868,217.050575,-2.227957,2018-06-01
Elkurud,Elkurud,HR2177,tet,θ,Col,,,5.00,V,29034,42167,91.881801,-37.252920,2018-06-01
Elnath,Elnath,HR1791,bet,β,Tau,Aa,05263+2836,1.65,V,25428,35497,81.572971,28.607452,2016-07-20
Eltanin,Eltanin,HR6705,gam,γ,Dra,,17566+5129,2.24,V,87833,164058,269.151541,51.488896,2016-08-21
Emiw,Emiw,HD7199,,,Tuc,,,8.06,V,5529,7199,17.696756,-66.188164,2019-12-17
Enif,Enif,HR8308,eps,ε,Peg,,21442+0953,2.38,V,107315,206778,326.046484,9.875009,2016-07-20
Errai,Errai,HR8974,gam,γ,Cep,Aa,23393+7738,3.21,V,116727,222404,354.836655,77.632313,2015-12-15
Fafnir,Fafnir,HR6945,42,42,Dra,A,18260+6534,4.82,V,90344,170693,276.496406,65.563480,2015-12-15
Fang,Fang,HR5944,pi,π,Sco,Aa,15589-2607,2.89,V,78265,143018,239.712972,-26.114108,2017-06-30
Fawaris,Fawaris,HR7528,del,δ,Cyg,A,19450+4508,2.90,V,97165,186882,296.243658,45.130810,2018-06-01
Felis,Felis,HR3923,,,Hya,,,4.94,V,48615,85951,148.717528,-19.009336,2018-06-01
Felixvarela,Felixvarela,BD-1763,,,Cet,,,9.62,V,2247,,7.142942,-16.226345,2019-12-17
Flegetonte,Flegetonte,HD102195,,,Vir,,11457+0249,8.07,V,57370,102195,176.426220,2.821479,2019-12-17
Fomalhaut,Fomalhaut,HR8728,alf,α,PsA,A,22577-2937,1.17,V,113368,216956,344.412693,-29.622237,2015-12-15
Formosa,Formosa,HD100655,,,Leo,,,6.45,V,56508,100655,173.765637,20.441545,2019-12-17
Franz,Franz,HAT-P-14,,,Her,,17205+3815,9.86,V,,,260.116160,38.242197,2019-12-17
Fulu,Fulu,HR153,zet,ζ,Cas,,,3.69,V,2920,3360,9.242851,53.896908,2017-06-30
Fumalsamakah,Fumalsamakah,HR8773,bet,β,Psc,,,4.48,V,113889,217891,345.969225,3.820045,2018-06-01
Funi,Funi,HD109246,,,Dra,,,8.75,V,61177,109246,188.029952,74.489547,2019-12-17
Furud,Furud,HR2282,zet,ζ,CMa,Aa,06203-3004,3.02,V,30122,44402,95.078300,-30.063367,2016-07-20
Fuyue,Fuyue,HR6630,,,Sco,,17499-3703,3.19,V,87261,161892,267.464503,-37.043305,2017-06-30
Gacrux,Gacrux,HR4763,gam,γ,Cru,,12312-5707,1.59,V,61084,108903,187.791498,-57.113213,2016-07-20
Gakyid,Gakyid,HD73534,,,Cnc,,,8.23,V,42446,73534,129.815846,12.960375,2019-12-17
Geminga,Geminga,PSRB0633+17,,,Gem,,,,,,,98.475638,17.770253,2022-04-04
Giausar,Giausar,HR4434,lam,λ,Dra,,,3.82,V,56211,100029,172.850920,69.331075,2017-02-01
Gienah,Gienah,HR4662,gam,γ,Crv,,12158-1733,2.58,V,59803,106625,183.951543,-17.541929,2016-11-06
Ginan,Ginan,HR4700,eps,ε,Cru,,,3.59,V,60260,107446,185.340039,-60.401147,2017-11-17
Gloas,Gloas,WASP-13,,,Lyn,,,10.38,G,,,140.102977,33.882417,2019-12-17
Gomeisa,Gomeisa,HR2845,bet,β,CMi,A,07272+0817,2.89,V,36188,58715,111.787674,8.289316,2016-07-20
Grumium,Grumium,HR6688,ksi,ξ,Dra,A,17535+5652,3.73,V,87585,163588,268.382207,56.872646,2016-09-12
Gudja,Gudja,HR5879,kap,κ,Ser,,,4.09,V,77450,141477,237.184903,18.141564,2018-08-10
Gumala,Gumala,HD179949,V5652,V5652,Sgr,,19156-2411,6.25,V,94645,179949,288.888459,-24.179354,2019-12-17
Guniibuu,Guniibuu,HR6402,36,,Oph,A,17153-2636,5.07,V,84405,155886,258.837875,-26.598892,2018-08-10
Hadar,Hadar,HR5267,bet,β,Cen,Aa,14038-6022,0.61,V,68702,122451,210.955856,-60.373035,2016-08-21
Haedus,Haedus,HR1641,eta,η,Aur,,,3.18,V,23767,32630,76.628722,41.234476,2017-06-30
Hamal,Hamal,HR617,alf,α,Ari,,,2.01,V,9884,12929,31.793357,23.462418,2016-07-20
Hassaleh,Hassaleh,HR1577,iot,ι,Aur,,,2.69,V,23015,31398,74.248421,33.166100,2017-06-30
Hatysa,Hatysa,HR1899,iot,ι,Ori,Aa,05354-0555,2.80,V,26241,37043,83.858258,-05.909901,2017-09-05
Helvetios,Helvetios,HR8729,51,51,Peg,,22575+2046,5.49,V,113357,217014,344.366583,20.768831,2015-12-15
Heze,Heze,HR5107,zet,ζ,Vir,A,13347-0036,3.38,V,66249,118098,203.673300,-0.595820,2018-06-01
Hoggar,Hoggar,HD28678,,,Tau,,,8.38,V,21109,28678,67.856059,4.575295,2019-12-17
Homam,Homam,HR8634,zet,ζ,Peg,A,22415+1050,3.41,V,112029,214923,340.365503,10.831363,2016-08-21
Horna,Horna,HAT-P-38,,,Tri,,,12.30,G,,,035.383251,32.246136,2019-12-17
Hunahpu,Hunahpú,HD98219,,,Crt,,,8.05,V,55174,98219,169.448138,-23.975415,2019-12-17
Hunor,Hunor,HAT-P-2,,,Her,,,8.72,V,80076,147506,245.151491,41.048086,2019-12-17
Iklil,Iklil,HR5928,rho,ρ,Sco,Aa,15569-2913,3.87,V,78104,142669,239.221151,-29.214073,2017-09-05
Illyrian,Illyrian,HD82886,,,LMi,,,7.62,V,47087,82886,143.938267,34.780742,2019-12-17
Imai,Imai,HR4656,del,δ,Cru,,,2.75,V,59747,106490,183.786320,-58.748927,2018-08-10
Inquill,Inquill,HD156411,,,Ara,,,6.67,V,84787,156411,259.964168,-48.549320,2019-12-17
Intan,Intan,HD20868,,,For,,,9.92,V,15578,20868,50.177891,-33.730104,2019-12-17
Intercrus,Intercrus,HR3743,,,UMa,,09287+4536,5.41,V,46471,81688,142.166618,45.601482,2015-12-15
Irena,Irena,WASP-38,,,Her,,,9.41,V,,,243.959855,10.032579,2019-12-17
Itonda,Itonda,HD208487,,,Gru,,,7.47,V,108375,208487,329.332698,-37.763624,2019-12-17
Izar,Izar,HR5506,eps,ε,Boo,A,14450+2704,2.35,V,72105,129988,221.246763,27.074207,2016-08-21
Jabbah,Jabbah,HR6027,nu,ν,Sco,Aa,16120-1928,4.50,V,79374,145502,242.998894,-19.460708,2017-06-30
Jishui,Jishui,HR2930,omi,ο,Gem,,,4.89,V,37265,61110,114.791387,34.584346,2017-06-30
Kaffaljidhma,Kaffaljidhma,HR804,gam,γ,Cet,A,02433+0314,3.56,V,12706,16970,40.825163,3.235816,2017-02-01
Kalausi,Kalausi,HD83443,,,Vel,,09372-4316,8.23,V,47202,83443,144.299282,-43.272204,2019-12-17
Kamuy,Kamuy,HD145457,,,CrB,,,6.57,V,79219,145457,242.516310,26.742748,2019-12-17
Kang,Kang,HR5315,kap,κ,Vir,,,4.18,V,69427,124294,213.223939,-10.273704,2017-06-30
Karaka,Karaka,HD137388,,,Aps,,15357-8012,8.71,V,76351,137388,233.916337,-80.204594,2019-12-17
KausAustralis,KausAustralis,HR6879,eps,ε,Sgr,A,18242-3423,1.79,V,90185,169022,276.042993,-34.384616,2016-07-20
KausBorealis,KausBorealis,HR6913,lam,λ,Sgr,,18280-2525,2.82,V,90496,169916,276.992668,-25.421701,2016-07-20
KausMedia,KausMedia,HR6859,del,δ,Sgr,,18210-2950,2.72,V,89931,168454,275.248508,-29.828104,2016-07-20
Kaveh,Kaveh,HD175541,,,Ser,,,8.02,V,92895,175541,283.920350,4.265323,2019-12-17
Keid,Keid,HR1325,omi02,ο2,Eri,A,04153-0739,4.43,V,19849,26965,63.817999,-7.652872,2016-09-12
Khambalia,Khambalia,HR5359,lam,λ,Vir,A,14191-1322,4.52,V,69974,125337,214.777468,-13.371096,2017-09-05
Kitalpha,Kitalpha,HR8131,alf,α,Equ,A,21158+0515,3.92,V,104987,202447,318.955949,5.247865,2016-08-21
Kochab,Kochab,HR5563,bet,β,UMi,,14507+7409,2.07,V,72607,131873,222.676357,74.155504,2016-07-20
Koeia,Koeia,HIP12961,,,Eri,,,10.25,V,12961,,041.678695,-23.086612,2019-12-17
Koit,Koit,XO-4,,,Lyn,,,10.78,G,,,110.388168,58.268087,2019-12-17
Kornephoros,Kornephoros,HR6148,bet,β,Her,Aa,16302+2129,2.78,V,80816,148856,247.554998,21.489611,2016-08-21
Kraz,Kraz,HR4786,bet,β,Crv,,,2.65,V,61359,109379,188.596810,-23.396759,2018-06-01
Kurhah,Kurhah,HR8417,ksi,ξ,Cep,Aa,22038+6438,4.26,V,108917,209790,330.947724,64.627971,2016-09-12
